CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,LATITUDE_ELLIPSE_IMAGE,LONGITUDE_ELLIPSE_IMAGE,DIAM_CIRCLE_IMAGE,DIAM_ELLIPSE_MAJOR_IMAGE,DIAM_ELLIPSE_MINOR_IMAGE,DIAM_ELLIPSE_ECCEN_IMAGE,DIAM_ELLIPSE_ELLIP_IMAGE,DIAM_ELLIPSE_ANGLE_IMAGE,LATITUDE_CIRCLE_TOPOG,LONGITUDE_CIRCLE_TOPOG,LATITUDE_ELLIPSE_TOPOG,LONGITUDE_ELLIPSE_TOPOG,DIAM_CIRCLE_TOPOG,DEPTH_RIM_TOPOG,DEPTH_RIM_SD_TOPOG,DEPTH_SURFACE_TOPOG,DEPTH_SURFACE_SD_TOPOG,DEPTH_FLOOR_TOPOG,DEPTH_FLOOR_SD_TOPOG,DEPTH_RIMFLOOR_TOPOG,DEPTH_RIMHEIGHT_TOPOG,DEPTH_SURFFLOOR_TOPOG,PTS_USED_RIM_IMAGE,PTS_USED_RIM_TOPOG,PTS_USED_SURFACE,PTS_USED_FLOOR,PTS_USED_LAYER_1,PTS_USED_LAYER_2,PTS_USED_LAYER_3,PTS_USED_LAYER_4,PTS_USED_LAYER_5,NUMBER_LAYERS,MORPHOLOGY_CRATER_1,MORPHOLOGY_CRATER_2,MORPHOLOGY_CRATER_3,MORPHOLOGY_EJECTA_1,MORPHOLOGY_EJECTA_2,MORPHOLOGY_EJECTA_3,MORPHOLOGY_EJECTA_COMMENTS,DEGRADATION_STATE,CONFIDENCE_IMPACT_CRATER,LAYER_1_PERIMETER,LAYER_1_AREA,LAYER_1_LOBATENESS,LAYER_1_EJECTARAD_EQUIV,LAYER_1_EJECTARAD_REL,LAYER_1_VOLUME,LAYER_2_PERIMETER,LAYER_2_AREA,LAYER_2_LOBATENESS,LAYER_2_EJECTARAD_EQUIV,LAYER_2_EJECTARAD_REL,LAYER_2_VOLUME,LAYER_3_PERIMETER,LAYER_3_AREA,LAYER_3_LOBATENESS,LAYER_3_EJECTARAD_EQUIV,LAYER_3_EJECTARAD_REL,LAYER_3_VOLUME,LAYER_4_PERIMETER,LAYER_4_AREA,LAYER_4_LOBATENESS,LAYER_4_EJECTARAD_EQUIV,LAYER_4_EJECTARAD_REL,LAYER_4_VOLUME,LAYER_5_PERIMETER,LAYER_5_AREA,LAYER_5_LOBATENESS,LAYER_5_EJECTARAD_EQUIV,LAYER_5_EJECTARAD_REL,LAYER_5_VOLUME,CRATER_NAME
01-000033,69.7400,9.2150,69.7710,9.2130,33.2300,34.5300,31.6200,0.4000,1.0900,65.0000,69.7340,9.2430,69.7390,9.2360,31.3800,-4.7100,0.0300,-4.7200,0.0200,-4.8100,0.0000,0.1000,0.0000,0.1000,150.0000,147.0000,158.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits / Ejecta Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000035,68.3730,6.2240,68.3770,6.2240,32.2600,33.9300,30.6000,0.4300,1.1100,72.0000,68.4090,6.1740,68.3990,6.2120,27.8300,-4.7500,0.0200,-4.7400,0.0300,-4.8600,0.0000,0.1000,-0.0100,0.1200,197.0000,121.0000,132.0000,38.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000041,76.0920,3.0670,76.0470,3.0660,28.3500,29.4800,27.4700,0.3600,1.0700,98.0000,76.0720,2.9350,76.0700,2.9360,30.6500,-4.8100,0.0100,-4.8100,0.0200,-4.9300,0.0000,0.1200,0.0000,0.1200,144.0000,165.0000,248.0000,55.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits / Dunes",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000044,72.0190,50.2270,72.0180,50.2270,27.5100,28.2700,26.7600,0.3200,1.0600,48.0000,72.0370,50.2820,72.0350,50.2770,29.9700,-4.4400,0.0100,-4.4500,0.0200,-4.5500,0.0000,0.1100,0.0000,0.1000,164.0000,165.0000,172.0000,64.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000045,68.0070,-109.1110,68.0650,-109.1130,27.4600,28.4600,26.6200,0.3500,1.0700,130.0000,68.0880,-109.1130,68.1830,-109.2250,27.6200,-3.8100,0.0200,-3.8000,0.0500,-3.8600,0.0100,0.0600,-0.0100,0.0600,122.0000,103.0000,227.0000,92.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000049,76.3630,-142.4270,76.3690,-142.4370,26.8200,27.1800,24.5900,0.4300,1.1100,48.0000,76.2680,-142.1130,76.2400,-142.1790,21.9400,-4.7300,0.0300,-4.7800,0.1400,-4.8400,0.0200,0.1200,0.0500,0.0700,101.0000,15.0000,177.0000,64.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000050,70.3010,18.4000,70.3030,18.4000,26.7600,27.5100,26.0400,0.3200,1.0600,46.0000,70.3140,18.4090,70.3140,18.4200,26.5700,-4.5900,0.0100,-4.6000,0.0200,-4.7000,0.0100,0.1100,0.0000,0.1100,161.0000,141.0000,220.0000,53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000051,70.3170,-93.5610,70.3220,-93.5610,26.6000,27.0900,26.1300,0.2600,1.0400,-17.0000,70.3200,-93.5820,70.3200,-93.5830,26.4800,-3.9300,0.1100,-4.2800,0.1000,-5.2500,0.0300,1.3200,0.3500,0.9700,323.0000,111.0000,201.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,CpxCPk,Terraced,"Floor Deposits",MLERS,HuBL,,,3.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000052,70.6570,40.8090,70.7370,40.8060,26.5400,27.9300,24.8800,0.4500,1.1200,130.0000,70.6860,40.8370,70.6620,40.7110,30.4300,-4.4600,0.0100,-4.4500,0.0300,-4.5500,0.0000,0.0900,-0.0100,0.1000,113.0000,106.0000,218.0000,62.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000056,69.3410,38.0900,69.3320,38.0900,24.2400,24.5000,23.9900,0.2000,1.0200,89.0000,69.3500,38.0280,69.3260,38.0410,24.3600,-4.4400,0.0200,-4.4400,0.0100,-4.5200,0.0000,0.0800,0.0000,0.0800,146.0000,141.0000,190.0000,55.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxFF,,"Floor Deposits / Ejecta Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
